code,kind,url
002709,price_raw,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002709&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002709,valuation_start,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29%28TRADE_DATE%3D%272020-03-30%27%29&pageNumber=1&pageSize=5
002709,valuation_baseline,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5
002709,valuation_peak,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29%28TRADE_DATE%3D%272021-10-29%27%29&pageNumber=1&pageSize=5
002709,valuation_current,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
002709,main_fin,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29&pageNumber=1&pageSize=500
002709,income,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_INCOME&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29&pageNumber=1&pageSize=500
002709,cashflow,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29&pageNumber=1&pageSize=500
002709,balance,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29&pageNumber=1&pageSize=500
002176,price_adjusted,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002176&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002176,price_raw,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002176&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002176,valuation_start,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29%28TRADE_DATE%3D%272020-05-20%27%29&pageNumber=1&pageSize=5
002176,valuation_baseline,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5
002176,valuation_peak,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29%28TRADE_DATE%3D%272021-09-14%27%29&pageNumber=1&pageSize=5
002176,valuation_current,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
002176,main_fin,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29&pageNumber=1&pageSize=500
002176,income,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_INCOME&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29&pageNumber=1&pageSize=500
002176,cashflow,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29&pageNumber=1&pageSize=500
002176,balance,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29&pageNumber=1&pageSize=500
002466,price_adjusted,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002466&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002466,price_raw,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002466&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
